"","app","category","reviews","installs","type_bin","grupo_edades","genre","size_num_imp","rating_imp","android_ver_imp","ano_act"
"1","Duolingo: Learn Languages Free","EDUCATION",6673.4316,396371.74,"0","4+","Education",14000,4.7,2.3,"2018"
"2","TED","EDUCATION",6673.4316,396371.74,"0","9+","Education",18000,4.6,4.1,"2018"
"3","English Communication - Learn English for Chinese (Learn English for Chinese)","EDUCATION",2544,100000,"0","4+","Education",18000,4.7,4,"2017"
"4","Khan Academy","EDUCATION",6673.4316,396371.74,"0","4+","Education",21000,4.6,4.1,"2018"
"5","Learn English with Wlingua","EDUCATION",6673.4316,396371.74,"0","4+","Education",3300,4.7,4,"2018"
"6","Ai La Trieu Phu - ALTP Free","EDUCATION",776,100000,"0","4+","Education",24000,4.3,4,"2018"
"7","Princess Coloring Book","EDUCATION",6673.4316,396371.74,"0","4+","Education",39000,4.5,4,"2018"
"8","Learn Spanish - Español","EDUCATION",6673.4316,396371.74,"0","4+","Education",3200,4.7,4,"2017"
"9","English Grammar Test","EDUCATION",4075,396371.74,"0","4+","Education",5100,4.8,4,"2018"
"10","Speed Reading","EDUCATION",6673.4316,396371.74,"0","4+","Education",11000,4.6,4,"2018"
"11","English for beginners","EDUCATION",6673.4316,396371.74,"0","4+","Education",27000,4.6,4,"2018"
"12","Flame - درب عقلك يوميا","EDUCATION",6673.4316,396371.74,"0","4+","Education",37000,4.6,4.1,"2018"
"13","Mermaids","EDUCATION",6673.4316,396371.74,"0","4+","Education",41465.92,4.2,4.1,"2018"
"14","Learn Japanese, Korean, Chinese Offline & Free","EDUCATION",6673.4316,396371.74,"0","4+","Education",26000,4.9,4.2,"2018"
"15","Kids Mode","EDUCATION",2469,396371.74,"0","4+","Education",11000,3.8,4,"2018"
"16","PBS KIDS Video","EDUCATION",6673.4316,396371.74,"0","4+","Education",16000,4.2,4,"2018"
"17","Dinosaurs Coloring Pages","EDUCATION",390,396371.74,"0","4+","Education",41000,4.4,4,"2018"
"18","Cars Coloring Pages","EDUCATION",1090,396371.74,"0","4+","Education",41465.92,4.4,4,"2018"
"19","Babbel – Learn Languages","EDUCATION",6673.4316,396371.74,"0","4+","Education",21000,4.3,4.4,"2018"
"20","Math Tricks","EDUCATION",6673.4316,396371.74,"0","4+","Education",8100,4.5,4,"2018"
"21","Monster Truck Driver & Racing","EDUCATION",748,396371.74,"0","4+","Education",41465.92,4.4,2.3,"2017"
"22","Learn English Words Free","EDUCATION",6673.4316,396371.74,"0","4+","Education",14000,4.6,4.1,"2018"
"23","Japanese / English one-shop search dictionary - Free Japanese - English - Japanese dictionary application","EDUCATION",60.9999999999998,50000,"0","17+","Education",18000,3.9,5,"2018"
"24","English speaking texts","EDUCATION",1619,396371.74,"0","4+","Education",3000,4.4,1.6,"2018"
"25","Thai Handwriting","EDUCATION",3168,396371.74,"0","4+","Education",19000,4.3,4.4,"2017"
